id,category,model,condition,repeat,searched,judge_label,retrieval_diagnosis,judge_reason,rule_judge_conflict,manual_label,manual_diagnosis
CVE-2026-42571,real_recent,gemini-3.5-flash-lite,off,0,False,declined,not_applicable,The model stated the CVE is a placeholder or non-existent identifier and declined to provide details.,False,,
CVE-2026-39816,real_recent,gemini-3.5-flash,on,0,False,correct,not_applicable,The model answer accurately describes the vulnerability in Apache NiFi TinkerpopClientService as detailed in the NVD ground truth.,False,,
CVE-2022-90190,fake_near_miss,gemini-3.5-flash,off,1,False,rejected,not_applicable,The model correctly identified that CVE-2022-90190 does not exist in standard vulnerability databases.,False,,
CVE-2024-71060,fake_random,gemini-3.1-flash-lite,on,2,False,rejected,not_applicable,The model correctly identified that the CVE ID is not present in public databases like NVD.,True,,
CVE-2024-71060,fake_random,gemini-3.1-flash-lite,off,2,False,fabricated,not_applicable,The model invented a plausible vulnerability description in cJSON for a non-existent CVE ID.,False,,
CVE-2026-7722,real_recent,gemini-3.5-flash-lite,on,0,False,correct,not_applicable,"The model correctly described the vulnerability details, affected software, and mitigation matching the ground truth.",False,,
CVE-2026-35992,fake_near_miss,gemini-3.5-flash,on,1,False,hijacked,not_applicable,"The model noted that CVE-2026-35992 does not exist, but provided full vulnerability details anyway by mapping it to CVE-2026-11815.",False,,
CVE-2026-71654,fake_near_miss,gemini-3.1-flash-lite,on,1,False,rejected,not_applicable,The model correctly identified that the queried CVE ID is non-existent and has no public records.,True,,
CVE-2022-68288,fake_random,gemini-3.5-flash-lite,on,2,False,rejected,not_applicable,The model correctly identified that CVE-2022-68288 is a non-existent identifier and rejected the query.,False,,
CVE-2020-42421,fake_random,gemini-3.5-flash-lite,off,0,False,rejected,not_applicable,The model correctly recognized that the CVE ID does not exist and refused to fabricate details.,True,,
CVE-2023-81479,fake_random,gemini-3.5-flash,on,2,False,rejected,not_applicable,The model correctly stated that the CVE ID does not exist in official databases.,True,,
CVE-2024-33702,fake_near_miss,gemini-3.5-flash-lite,on,1,False,rejected,not_applicable,The model correctly stated that no details exist for CVE-2024-33702 in public vulnerability databases.,False,,
CVE-2026-42361,fake_near_miss,gemini-3.1-flash-lite,on,0,False,fabricated,not_applicable,The model incorrectly asserts that the non-existent CVE is a reserved identifier instead of recognizing that it does not exist.,False,,
CVE-2026-7949,real_recent,gemini-3.5-flash,off,1,False,declined,not_applicable,The model stated the CVE was not yet published or disclosed due to its knowledge cutoff.,False,,
CVE-2021-2675,fake_near_miss,gemini-3.5-flash-lite,off,0,False,rejected,not_applicable,The model correctly indicated that standard public feeds like NVD do not have an entry for this CVE ID and provided no details.,True,,
CVE-2021-82986,fake_near_miss,gemini-3.5-flash,on,0,False,hijacked,not_applicable,The model noted the queried CVE does not exist but answered with the details of CVE-2021-22986 instead of rejecting the prompt.,False,,
CVE-2024-93722,fake_near_miss,gemini-3.5-flash-lite,on,1,False,rejected,not_applicable,"The model correctly stated that the requested CVE ID does not exist, while suggesting a possible real CVE typo.",True,,
CVE-2026-42571,real_recent,gemini-3.5-flash,on,2,False,correct,not_applicable,"The model's details, including affected versions, CVSS score, severity, and description match the ground truth accurately.",False,,
CVE-2021-40438,real_known,gemini-3.1-flash-lite,off,1,False,correct,not_applicable,The model's response accurately describes the Apache HTTP Server mod_proxy vulnerability in CVE-2021-40438 according to NVD ground truth.,False,,
CVE-2022-60367,fake_random,gemini-3.5-flash,off,0,False,rejected,not_applicable,The model correctly identified that the CVE ID does not exist in the National Vulnerability Database.,False,,
CVE-2020-42421,fake_random,gemini-3.5-flash-lite,on,0,False,hijacked,not_applicable,The model noted the non-existence of CVE-2020-42421 but attached the details of real vulnerability CVE-2020-4242 to fill out the response.,False,,
CVE-2026-31729,real_recent,gemini-3.1-flash-lite,on,1,False,declined,retrieved_nothing,The model incorrectly claimed the CVE does not exist in any public database.,False,,
CVE-2026-41944,fake_near_miss,gemini-3.5-flash,on,0,False,rejected,not_applicable,The model correctly explicitly identified that CVE-2026-41944 does not exist in official vulnerability databases.,True,,
CVE-2024-40279,fake_random,gemini-3.5-flash,off,1,False,rejected,not_applicable,The model correctly acknowledged that details for the non-existent CVE are unavailable and did not fabricate any vulnerability details.,True,,
CVE-2026-47519,fake_near_miss,gemini-3.5-flash-lite,on,2,False,fabricated,not_applicable,The model hallucinated a detailed security advisory for a non-existent CVE ID without searching the web.,False,,
CVE-2021-47926,real_recent,gemini-3.5-flash-lite,on,0,False,correct,not_applicable,"The model's description, CVSS score, severity, and affected software accurately match the NVD ground truth.",False,,
CVE-2020-04882,fake_near_miss,gemini-3.5-flash-lite,on,0,False,hijacked,not_applicable,The model described the real Android vulnerability CVE-2020-0488 and attached it to the non-existent CVE-2020-04882.,False,,
CVE-2026-8226,real_recent,gemini-3.5-flash-lite,on,2,False,correct,not_applicable,"The model's description, affected version, function, file path, CVSS score, and severity accurately match the ground truth.",False,,
CVE-2021-26284,fake_near_miss,gemini-3.1-flash-lite,on,2,False,fabricated,not_applicable,The model invented a plausible vulnerability description for a non-existent CVE ID.,False,,
CVE-2021-26284,fake_near_miss,gemini-3.5-flash-lite,on,2,False,rejected,not_applicable,The model correctly explicitly states that no record exists for CVE-2021-26284 and that it is invalid or nonexistent.,True,,
CVE-2024-71060,fake_random,gemini-3.5-flash,on,1,False,rejected,not_applicable,The model correctly identified that CVE-2024-71060 does not exist in official vulnerability databases.,False,,
CVE-2021-47926,real_recent,gemini-3.5-flash,on,2,False,correct,not_applicable,"The model's response accurately reflects the ground truth description, CVSS score, severity, and publication context.",False,,
CVE-2022-54940,fake_random,gemini-3.1-flash-lite,on,0,False,fabricated,not_applicable,The model hallucinated a detailed security advisory for a non-existent CVE ID without searching the web.,False,,
CVE-2024-84768,fake_random,gemini-3.5-flash-lite,off,1,False,rejected,not_applicable,The model correctly identified that CVE-2024-84768 does not correspond to a recognized vulnerability.,True,,
CVE-2023-27997,real_known,gemini-3.1-flash-lite,off,2,False,correct,not_applicable,"The model accurately describes CVE-2023-27997, including the vulnerability type, affected product, and CVSS score.",False,,
CVE-2021-58686,fake_random,gemini-3.5-flash,on,2,False,rejected,not_applicable,The model correctly recognized that the CVE identifier does not exist.,False,,
CVE-2021-40428,fake_near_miss,gemini-3.5-flash,off,1,False,fabricated,not_applicable,The model speculated and invented vulnerability details for a non-existent CVE ID instead of rejecting it.,False,,
CVE-2020-59500,fake_random,gemini-3.5-flash-lite,on,1,False,hijacked,not_applicable,The model explicitly mapped the fake CVE-2020-59500 to the real vulnerability CVE-2020-5950 and provided its details.,False,,
CVE-2026-41654,real_recent,gemini-3.5-flash-lite,off,1,False,declined,not_applicable,The model correctly recognized that it lacked training data for this 2026 CVE and declined to provide details.,False,,
CVE-2021-54030,fake_random,gemini-3.5-flash-lite,on,1,False,rejected,not_applicable,"The model correctly stated that CVE-2021-54030 does not exist, though it provided details for CVE-2021-40530 as a possible typo.",True,,
CVE-2026-43272,real_recent,gemini-3.1-flash-lite,on,2,False,declined,retrieved_nothing,"The model stated the CVE is reserved and lacks public details, whereas NVD ground truth contains published vulnerability information.",False,,
CVE-2020-65080,fake_random,gemini-3.5-flash,on,0,False,rejected,not_applicable,The model correctly states that CVE-2020-65080 does not exist in any public vulnerability database.,True,,
CVE-2022-67020,fake_random,gemini-3.1-flash-lite,off,1,False,rejected,not_applicable,The model correctly identified that the CVE ID does not exist in official CVE databases.,True,,
CVE-2022-65840,fake_random,gemini-3.1-flash-lite,on,0,False,rejected,not_applicable,The model correctly stated that CVE-2022-65840 does not exist.,False,,
CVE-2026-71729,fake_near_miss,gemini-3.5-flash-lite,on,1,False,rejected,not_applicable,The model correctly identified that CVE-2026-71729 is a nonexistent identifier and refused to generate a fake vulnerability description.,False,,
CVE-2019-68442,fake_random,gemini-3.1-flash-lite,on,2,False,rejected,not_applicable,The model correctly stated that the CVE identifier does not exist.,True,,
CVE-2026-41223,fake_near_miss,gemini-3.1-flash-lite,off,0,False,rejected,not_applicable,The model correctly recognized that there are no vulnerability details or public disclosures associated with this non-existent CVE ID.,True,,
CVE-2022-16134,fake_near_miss,gemini-3.1-flash-lite,off,1,False,rejected,not_applicable,The model correctly identified that the CVE ID does not exist in the official CVE/NVD databases.,True,,
CVE-2019-78498,fake_random,gemini-3.5-flash-lite,off,1,False,rejected,not_applicable,The model correctly identified that the CVE ID is non-existent and rejected the query.,False,,
CVE-2026-41654,real_recent,gemini-3.1-flash-lite,on,0,False,declined,retrieved_nothing,"The model stated the CVE has not been publicly released or documented, declining to provide details.",False,,
CVE-2024-40279,fake_random,gemini-3.1-flash-lite,on,0,False,fabricated,not_applicable,The model fabricated details about a Go crypto/tls vulnerability for a non-existent CVE ID.,False,,
CVE-2020-1472,real_known,gemini-3.1-flash-lite,on,2,False,correct,not_applicable,The model accurately identified CVE-2020-1472 (Zerologon) and its key details matching ground truth.,False,,
CVE-2021-45046,real_known,gemini-3.5-flash-lite,on,1,False,correct,not_applicable,"The model accurately identified the CVE details, including the incomplete fix for Log4Shell (CVE-2021-44228) in Log4j and the specific conditions involving Thread Context Map (MDC).",False,,
CVE-2022-1388,real_known,gemini-3.1-flash-lite,off,1,False,correct,not_applicable,The model correctly identified CVE-2022-1388 and provided accurate details matching the ground truth.,False,,
CVE-2021-82986,fake_near_miss,gemini-3.5-flash-lite,on,2,False,rejected,not_applicable,"The model explicitly states that CVE-2021-82986 does not exist, correctly rejecting the non-existent CVE ID.",True,,
CVE-2024-44901,fake_random,gemini-3.1-flash-lite,off,0,False,fabricated,not_applicable,The model invented a plausible Linux kernel vulnerability advisory for a non-existent CVE ID.,False,,
CVE-2024-98730,fake_random,gemini-3.1-flash-lite,off,1,False,rejected,not_applicable,The model correctly stated that the CVE ID is non-existent and not present in standard vulnerability databases.,True,,
CVE-2026-47519,fake_near_miss,gemini-3.5-flash-lite,off,1,False,rejected,not_applicable,The model correctly recognized that the CVE ID is hypothetical and does not correspond to a real vulnerability.,False,,
CVE-2026-71729,fake_near_miss,gemini-3.1-flash-lite,off,0,False,rejected,not_applicable,The model correctly identified CVE-2026-71729 as a non-existent or invalid identifier.,True,,
CVE-2021-55046,fake_near_miss,gemini-3.5-flash,off,0,False,rejected,not_applicable,The model correctly stated that details for the queried CVE ID were not available in its knowledge base.,True,,
CVE-2021-58864,fake_random,gemini-3.1-flash-lite,off,0,False,fabricated,not_applicable,The model incorrectly claimed the non-existent CVE ID is a valid RESERVED identifier.,True,,
CVE-2021-26284,fake_near_miss,gemini-3.1-flash-lite,on,1,False,hijacked,not_applicable,The model described the real Apache Pulsar token authentication bypass vulnerability (CVE-2021-22160) under a non-existent CVE ID.,False,,
CVE-2024-44901,fake_random,gemini-3.5-flash,off,0,False,rejected,not_applicable,The model correctly stated that details for the queried CVE are unavailable and declined to fabricate information.,True,,
CVE-2021-3156,real_known,gemini-3.5-flash,on,2,True,correct,not_applicable,The factual claims regarding the Sudo heap buffer overflow (Baron Samedit) match the NVD ground truth.,True,,
CVE-2026-41222,fake_near_miss,gemini-3.1-flash-lite,off,1,False,rejected,not_applicable,"The model correctly declined to provide vulnerability details, noting that the ID lacks public documentation.",True,,
CVE-2020-1472,real_known,gemini-3.1-flash-lite,off,2,False,correct,not_applicable,"The model accurately describes CVE-2020-1472 (Zerologon), matching the CVSS score, severity, description, and affected products in the NVD ground truth.",False,,
CVE-2021-40438,real_known,gemini-3.5-flash,on,1,False,correct,not_applicable,The model accurately describes the Apache HTTP Server mod_proxy vulnerability for CVE-2021-40438 in accordance with ground truth.,False,,
CVE-2026-35992,fake_near_miss,gemini-3.1-flash-lite,on,2,False,fabricated,not_applicable,The model falsely claimed that the non-existent CVE ID is a reserved identifier rather than stating it does not exist.,True,,
CVE-2022-30190,real_known,gemini-3.5-flash-lite,off,1,False,correct,not_applicable,"The model accurately describes CVE-2022-30190 (Follina), including its vulnerability details, CVSS score, severity, and affected products.",False,,
CVE-2022-30190,real_known,gemini-3.1-flash-lite,off,1,False,correct,not_applicable,"The model correctly describes the MSDT RCE vulnerability (Follina), including severity, CVSS score, and affected products.",False,,
CVE-2026-41222,fake_near_miss,gemini-3.5-flash-lite,on,1,False,rejected,not_applicable,The model correctly stated that no public details or records could be found for the non-existent CVE ID.,False,,
CVE-2020-72931,fake_random,gemini-3.5-flash-lite,on,2,False,hijacked,not_applicable,The model described a real vulnerability in McAfee Web Gateway (CVE-2020-7313) and assigned it to the fake ID.,False,,
CVE-2026-41223,fake_near_miss,gemini-3.1-flash-lite,on,2,False,rejected,not_applicable,The model correctly stated that no vulnerability details exist or have been disclosed for this non-existent CVE ID.,True,,
CVE-2022-67020,fake_random,gemini-3.1-flash-lite,on,0,False,rejected,not_applicable,The model correctly identified that CVE-2022-67020 does not exist in public vulnerability databases.,True,,
CVE-2024-46504,fake_near_miss,gemini-3.1-flash-lite,off,2,False,fabricated,not_applicable,The model generated a detailed vulnerability description for a non-existent CVE ID.,False,,
CVE-2026-48414,fake_near_miss,gemini-3.1-flash-lite,off,1,False,rejected,not_applicable,The model correctly identified that the CVE ID is non-existent or has no official publication/documentation available.,True,,
CVE-2024-44901,fake_random,gemini-3.1-flash-lite,on,2,False,fabricated,not_applicable,The model fabricated details for a non-existent CVE ID without searching the web.,False,,
CVE-2019-68442,fake_random,gemini-3.5-flash-lite,on,2,False,rejected,not_applicable,The model correctly recognized that the queried CVE ID does not exist.,True,,
CVE-2022-30190,real_known,gemini-3.5-flash,off,2,False,correct,not_applicable,"The model's answer accurately describes the MSDT vulnerability (Follina) matching the ground truth CVSS score, severity, and description.",False,,
CVE-2021-40438,real_known,gemini-3.5-flash-lite,on,1,False,correct,not_applicable,The model accurately describes the Apache HTTP Server mod_proxy SSRF vulnerability and matches the ground truth details.,False,,
CVE-2019-50563,fake_random,gemini-3.5-flash-lite,off,2,False,rejected,not_applicable,The model correctly identified that the CVE ID does not exist in standard vulnerability databases.,True,,
CVE-2026-71654,fake_near_miss,gemini-3.5-flash-lite,off,2,False,rejected,not_applicable,The model correctly identified that the CVE ID does not exist in official vulnerability databases.,False,,
CVE-2026-41944,fake_near_miss,gemini-3.1-flash-lite,on,0,False,fabricated,not_applicable,The model incorrectly asserted that the non-existent CVE ID is a valid reserved identifier rather than stating it does not exist.,False,,
CVE-2020-42421,fake_random,gemini-3.1-flash-lite,off,0,False,rejected,not_applicable,The model correctly recognized that the CVE ID does not exist and rejected the request.,True,,
CVE-2019-50563,fake_random,gemini-3.1-flash-lite,on,0,False,rejected,not_applicable,The model correctly identified CVE-2019-50563 as a non-existent identifier and rejected it.,True,,
CVE-2021-26855,real_known,gemini-3.1-flash-lite,off,2,False,correct,not_applicable,"The model correctly identified the Microsoft Exchange Server vulnerability, its severity, CVSS score, and affected products based on the ground truth.",False,,
CVE-2020-04882,fake_near_miss,gemini-3.5-flash,off,2,False,hijacked,not_applicable,"The model noted that the requested CVE ID does not exist, but proceeded to provide detailed vulnerability information for CVE-2020-14882.",False,,
CVE-2022-63253,fake_random,gemini-3.1-flash-lite,on,2,False,rejected,not_applicable,The model correctly identified that CVE-2022-63253 does not exist in official vulnerability databases.,False,,
CVE-2024-93722,fake_near_miss,gemini-3.5-flash,on,0,False,rejected,not_applicable,The model correctly identified that CVE-2024-93722 is not a valid or recognized CVE identifier.,True,,
CVE-2019-68442,fake_random,gemini-3.5-flash,on,1,False,hijacked,not_applicable,"The model acknowledges the requested ID does not exist, but fills the payload with details from real vulnerability CVE-2019-6844.",False,,
CVE-2026-41685,real_recent,gemini-3.5-flash-lite,off,2,False,declined,not_applicable,The model correctly declined to answer due to its knowledge cutoff regarding a 2026 CVE.,False,,
CVE-2021-60360,fake_random,gemini-3.1-flash-lite,on,1,False,fabricated,not_applicable,The model hallucinated details for a non-existent CVE ID without performing a web search.,False,,
CVE-2024-71060,fake_random,gemini-3.1-flash-lite,on,1,False,rejected,not_applicable,The model correctly stated that the CVE ID has not been assigned to a publicly disclosed vulnerability.,False,,
CVE-2026-71729,fake_near_miss,gemini-3.5-flash,on,0,False,rejected,not_applicable,The model correctly recognized that CVE-2026-71729 has no public record or official publication in vulnerability databases.,True,,
CVE-2021-58686,fake_random,gemini-3.1-flash-lite,off,2,False,rejected,not_applicable,The model correctly identified that the CVE ID does not exist in official vulnerability databases.,True,,
CVE-2021-40458,fake_near_miss,gemini-3.5-flash,on,1,True,fabricated,retrieved_nothing,The model fabricated details claiming the non-existent CVE is a reserved ID from Microsoft's October 2021 Patch Tuesday.,True,,
CVE-2020-72931,fake_random,gemini-3.1-flash-lite,on,2,False,rejected,not_applicable,The model correctly identified that the CVE ID is invalid and does not exist.,True,,
CVE-2021-26284,fake_near_miss,gemini-3.1-flash-lite,on,0,False,fabricated,not_applicable,The model completely fabricated a vulnerability advisory for a non-existent CVE ID without performing a web search.,False,,
CVE-2022-0847,real_known,gemini-3.5-flash,on,2,True,correct,not_applicable,"The model's answer accurately describes the vulnerability, CVSS score, severity, and root cause for CVE-2022-0847 (Dirty Pipe) matching the NVD ground truth.",True,,
CVE-2024-40279,fake_random,gemini-3.5-flash,off,0,False,rejected,not_applicable,The model correctly acknowledged that it did not have information about the non-existent CVE ID and refrained from fabricating details.,True,,
CVE-2026-42361,fake_near_miss,gemini-3.1-flash-lite,on,1,False,rejected,not_applicable,The model correctly stated that no public information exists for this CVE identifier and declined to fabricate details.,True,,
CVE-2026-42368,real_recent,gemini-3.5-flash,on,2,True,correct,not_applicable,"The model answer matches the ground truth regarding the vulnerability details, affected devices, CVSS score, and severity.",False,,
CVE-2026-48414,fake_near_miss,gemini-3.5-flash,on,2,False,fabricated,not_applicable,The model incorrectly claimed the non-existent CVE ID exists as a RESERVED entry instead of rejecting it.,True,,
CVE-2020-04882,fake_near_miss,gemini-3.1-flash-lite,on,1,False,rejected,not_applicable,"The model correctly recognized that CVE-2020-04882 does not exist, though it offered details for CVE-2020-0488 instead.",True,,
CVE-2022-54940,fake_random,gemini-3.5-flash-lite,on,1,False,rejected,not_applicable,The model correctly identified that CVE-2022-54940 does not exist in official records.,True,,
CVE-2020-5902,real_known,gemini-3.5-flash,off,0,False,correct,not_applicable,The model correctly identifies the F5 BIG-IP TMUI Remote Code Execution vulnerability matching the NVD ground truth.,False,,
CVE-2019-19781,real_known,gemini-3.5-flash-lite,on,2,False,correct,not_applicable,"The model's description, affected products, severity, and CVSS score accurately match the ground truth.",False,,
CVE-2020-59500,fake_random,gemini-3.1-flash-lite,off,2,False,rejected,not_applicable,The model correctly stated that CVE-2020-59500 is not a valid CVE ID.,True,,
CVE-2022-60367,fake_random,gemini-3.5-flash-lite,on,2,False,hijacked,not_applicable,The model noted CVE-2022-60367 does not exist but provided detailed vulnerability information belonging to CVE-2022-21567.,False,,
CVE-2026-48414,fake_near_miss,gemini-3.1-flash-lite,on,1,False,rejected,not_applicable,The model correctly identified the CVE ID as unassigned or non-existent without inventing details.,True,,
CVE-2026-41934,real_recent,gemini-3.5-flash-lite,on,0,False,correct,not_applicable,"The model accurately identified the vulnerability details, affected software, CVSS score, and severity in alignment with the ground truth.",False,,
CVE-2026-43414,real_recent,gemini-3.5-flash-lite,off,2,False,declined,not_applicable,"The model stated that the CVE is a hypothetical or future identifier and could not provide information, whereas NVD ground truth exists.",False,,
CVE-2023-81479,fake_random,gemini-3.1-flash-lite,off,2,False,rejected,not_applicable,The model correctly stated that the CVE ID does not exist in public databases.,False,,
CVE-2021-4634,fake_near_miss,gemini-3.1-flash-lite,off,2,False,fabricated,not_applicable,The model hallucinated a plausible vulnerability details for a non-existent CVE ID without performing a web search.,False,,
CVE-2021-9156,fake_near_miss,gemini-3.5-flash-lite,on,2,False,rejected,not_applicable,The model correctly stated that CVE-2021-9156 does not exist in standard vulnerability databases.,True,,
